dl_los,dl_del_ms,ul_rat_kb,ul_jit_ms,ul_del_ms,dl_rat_kb,dl_jit_ms,ul_los,QoE,availableQualityLevels,bufferSizeWhenStart,clen_audio,clen_video,dur,getVideoLoadedFraction,httpInfo,join_time,player_load_time,resolution,stallingNumber,timeout,totalStallDuration,ts_firstBuffering,ts_onPlayerReadyEvent,ts_onYTIframeAPIReady,ts_startPlaying,ts_start_js,bitrate_switches
27.0,3491.0,2400.0,90.0,297.0,5600.0,,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,310000.0,21591.0,hd1080,0.0,no,0.0,1518188133382.0,1518188133318.0,1518188117452.0,0.0,1518188111727.0,0.0
21.0,1048.0,,210.0,75.0,6400.0,180.0,,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,13586.0,hd1080,0.0,no,0.0,1518188162592.0,1518188162475.0,1518188157978.0,0.0,1518188148889.0,1.0
,1397.0,5600.0,240.0,297.0,3200.0,90.0,9.0,0.0,,0.08805972630983855,476991.0,839533.0,60.101,1.0,,10763.0,5799.0,tiny,2.0,no,5891.0,1518188223778.0,1518188223731.0,1518188220197.0,1518188234541.0,1518188217932.0,1.0
24.0,2793.0,5600.0,30.0,741.0,2400.0,30.0,6.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,23949.0,hd1080,0.0,no,0.0,1518188318135.0,1518188318085.0,1518188306814.0,0.0,1518188294136.0,1.0
24.0,3491.0,7200.0,60.0,741.0,800.0,30.0,21.0,0.0,,0.0,0.0,0.0,0.0,0.0,,310000.0,22499.0,hd1080,0.0,no,0.0,1518188355828.0,1518188355747.0,1518188337515.0,0.0,1518188333248.0,0.0
27.0,1397.0,3200.0,240.0,741.0,7200.0,240.0,27.0,0.0,,0.0,0.0,0.0,0.0,0.0,,310000.0,17752.0,hd1080,0.0,no,0.0,1518188389283.0,1518188389155.0,1518188379878.0,0.0,1518188371403.0,0.0
,1397.0,3200.0,270.0,519.0,7200.0,240.0,6.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,10440.0,hd1080,0.0,no,0.0,1518188415007.0,1518188414978.0,1518188407012.0,0.0,1518188404538.0,1.0
,3491.0,800.0,270.0,149.0,6400.0,150.0,18.0,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,14032.0,hd1080,0.0,no,0.0,1518188444812.0,1518188444696.0,1518188438352.0,0.0,1518188430664.0,1.0
,1.0,5600.0,,371.0,5600.0,120.0,24.0,1.0,,0.08805972630983855,476991.0,839533.0,60.101,1.0,,5290.0,1689.0,tiny,0.0,no,0.0,1518188524635.0,1518188524589.0,1518188523567.0,1518188529925.0,1518188522900.0,1.0
12.0,2444.0,4000.0,150.0,371.0,1600.0,180.0,,0.0,,0.0,476991.0,839533.0,60.101,0.0,,310000.0,6539.0,hd1080,0.0,no,0.0,1518188567689.0,1518188567596.0,1518188563598.0,0.0,1518188561057.0,1.0
